Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Drape,True_test13-redyellow_0010_img.png,"[2, 2, 2, 4]",2,75.00%,4
Drape,True_test10-redyellow_0007_img.png,"[2, 2, 1, 4]",2,50.00%,4
Drape,True_test13-redyellow_0015_img.png,"[1, 4, 2, 1]",1,50.00%,4
Drape,True_test10-redyellow_0006_img.png,"[2, 1, 4, 1]",1,50.00%,4
Drape,True_test10-redyellow_0015_img.png,"[3, 2, 2, 3]",2,50.00%,4
Drape,True_test14-redyellow_0014_img.png,"[3, 2, 4, 3]",3,50.00%,4
Drape,True_test12-redyellow_0003_img.png,"[2, 1, 2, 1]",1,50.00%,4
Drape,True_test14-redyellow_0003_img.png,"[4, 4, 2, 1]",4,50.00%,4
Drape,True_test14-redyellow_0016_img.png,"[1, 4, 3, 1]",1,50.00%,4
Drape,True_test18-redyellow_0015_img.png,"[1, 3, 1, 2]",1,50.00%,4
Drape,True_test17-redyellow_0011_img.png,"[1, 3, 3, 4]",3,50.00%,4
Drape,True_test14-redyellow_0018_img.png,"[1, 2, 4, 3]",1,25.00%,4
Drape,True_test18-redyellow_0010_img.png,"[3, 2, 2, 3]",2,50.00%,4
Drape,True_test10-redyellow_0010_img.png,"[3, 2, 3, 3]",3,75.00%,4
Drape,True_test11-redyellow_0001_img.png,"[2, 2, 2, 3]",2,75.00%,4
Drape,True_test12-redyellow_0017_img.png,"[1, 2, 3, 3]",3,50.00%,4
Drape,True_test14-redyellow_0001_img.png,"[3, 3, 2, 3]",3,75.00%,4
Drape,True_test14-redyellow_0019_img.png,"[4, 2, 4, 3]",4,50.00%,4
Drape,True_test15-redyellow_0010_img.png,"[1, 2, 3, 4]",1,25.00%,4
Drape,True_test10-redyellow_0002_img.png,"[4, 2, 3, 2]",2,50.00%,4
Drape,True_test11-redyellow_0010_img.png,"[2, 1, 3, 4]",1,25.00%,4
Drape,True_test15-redyellow_0016_img.png,"[1, 4, 4, 2]",4,50.00%,4
Drape,True_test14-redyellow_0011_img.png,"[3, 4, 1, 4]",4,50.00%,4
Drape,True_test12-redyellow_0007_img.png,"[3, 1, 1, 2]",1,50.00%,4
Drape,True_test15-redyellow_0017_img.png,"[2, 3, 3, 3]",3,75.00%,4
Drape,True_test19-redyellow_0008_img.png,"[1, 2, 2, 2]",2,75.00%,4
Drape,True_test19-redyellow_0003_img.png,"[1, 1, 3, 1]",1,75.00%,4
Drape,True_test18-redyellow_0005_img.png,"[1, 4, 3, 1]",1,50.00%,4
Drape,True_test16-redyellow_0002_img.png,"[2, 1, 2, 4]",2,50.00%,4
Drape,True_test13-redyellow_0019_img.png,"[3, 2, 3, 1]",3,50.00%,4
Drape,True_test12-redyellow_0000_img.png,"[2, 3, 4, 4]",4,50.00%,4
Drape,True_test10-redyellow_0017_img.png,"[2, 4, 2, 2]",2,75.00%,4
Drape,True_test12-redyellow_0009_img.png,"[3, 2, 1, 3]",3,50.00%,4
Drape,True_test10-redyellow_0016_img.png,"[3, 2, 4, 3]",3,50.00%,4
Drape,True_test18-redyellow_0001_img.png,"[2, 4, 1, 2]",2,50.00%,4
Drape,True_test17-redyellow_0003_img.png,"[3, 1, 4, 4]",4,50.00%,4
Drape,True_test12-redyellow_0002_img.png,"[3, 1, 2, 3]",3,50.00%,4
Drape,True_test14-redyellow_0004_img.png,"[3, 2, 4, 1]",1,25.00%,4
Drape,True_test15-redyellow_0005_img.png,"[1, 3, 4, 3]",3,50.00%,4
Drape,True_test18-redyellow_0002_img.png,"[4, 2, 1, 3]",1,25.00%,4
Drape,True_test15-redyellow_0015_img.png,"[2, 1, 3, 1]",1,50.00%,4
Drape,True_test12-redyellow_0005_img.png,"[1, 4, 3, 3]",3,50.00%,4
Drape,True_test18-redyellow_0009_img.png,"[1, 3, 1, 2]",1,50.00%,4
Drape,True_test11-redyellow_0011_img.png,"[4, 3, 1, 1]",1,50.00%,4
Drape,True_test15-redyellow_0009_img.png,"[3, 2, 4, 3]",3,50.00%,4
Drape,True_test16-redyellow_0006_img.png,"[2, 4, 2, 2]",2,75.00%,4
Drape,True_test13-redyellow_0007_img.png,"[2, 3, 4, 2]",2,50.00%,4
Drape,True_test16-redyellow_0010_img.png,"[1, 4, 3, 1]",1,50.00%,4
Drape,True_test12-redyellow_0019_img.png,"[4, 3, 2, 4]",4,50.00%,4
Drape,True_test16-redyellow_0015_img.png,"[1, 3, 4, 1]",1,50.00%,4
Drape,True_test19-redyellow_0007_img.png,"[4, 2, 3, 1]",1,25.00%,4
Drape,True_test16-redyellow_0009_img.png,"[4, 1, 3, 1]",1,50.00%,4
Drape,True_test11-redyellow_0015_img.png,"[2, 4, 2, 3]",2,50.00%,4
Drape,True_test14-redyellow_0017_img.png,"[4, 3, 3, 3]",3,75.00%,4
Drape,True_test13-redyellow_0004_img.png,"[4, 2, 1, 3]",1,25.00%,4
Drape,True_test12-redyellow_0012_img.png,"[1, 2, 4, 2]",2,50.00%,4
Drape,True_test18-redyellow_0008_img.png,"[4, 1, 2, 2]",2,50.00%,4
Drape,True_test12-redyellow_0011_img.png,"[3, 2, 1, 3]",3,50.00%,4
Drape,True_test11-redyellow_0006_img.png,"[3, 3, 4, 3]",3,75.00%,4
Drape,True_test17-redyellow_0004_img.png,"[2, 4, 4, 2]",2,50.00%,4
Drape,True_test18-redyellow_0016_img.png,"[3, 3, 2, 3]",3,75.00%,4
Drape,True_test16-redyellow_0008_img.png,"[3, 3, 2, 4]",3,50.00%,4
Drape,True_test17-redyellow_0013_img.png,"[3, 3, 2, 3]",3,75.00%,4
Drape,True_test14-redyellow_0015_img.png,"[3, 1, 3, 3]",3,75.00%,4
Drape,True_test17-redyellow_0000_img.png,"[2, 1, 4, 4]",4,50.00%,4
Drape,True_test19-redyellow_0002_img.png,"[2, 4, 3, 3]",3,50.00%,4
Drape,True_test10-redyellow_0014_img.png,"[4, 2, 2, 2]",2,75.00%,4
Drape,True_test13-redyellow_0006_img.png,"[4, 3, 4, 4]",4,75.00%,4
Drape,True_test12-redyellow_0014_img.png,"[2, 1, 1, 2]",1,50.00%,4
Drape,True_test11-redyellow_0016_img.png,"[2, 3, 4, 2]",2,50.00%,4
Drape,True_test18-redyellow_0014_img.png,"[4, 3, 2, 2]",2,50.00%,4
Drape,True_test12-redyellow_0001_img.png,"[3, 4, 3, 2]",3,50.00%,4
Drape,True_test14-redyellow_0009_img.png,"[2, 3, 3, 3]",3,75.00%,4
Drape,True_test12-redyellow_0013_img.png,"[2, 4, 3, 1]",1,25.00%,4
Drape,True_test12-redyellow_0008_img.png,"[3, 2, 4, 4]",4,50.00%,4
Drape,True_test16-redyellow_0004_img.png,"[3, 2, 3, 3]",3,75.00%,4
