Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Contain,True_pilot-containment-cone-plate-redyellow_0022_img.png,"[1, 2, 4, 3]",1,25.00%,4
Contain,True_pilot-containment-torus-redyellow_0000_img.png,"[1, 3, 3, 1]",1,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0032_img.png,"[4, 1, 2, 2]",2,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0018_img.png,"[2, 3, 3, 4]",3,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0006_img.png,"[2, 3, 3, 2]",2,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0015_img.png,"[3, 2, 4, 1]",1,25.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0007_img.png,"[1, 4, 1, 3]",1,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0020_img.png,"[1, 3, 4, 2]",1,25.00%,4
Contain,True_pilot-containment-box-redyellow_0013_img.png,"[1, 2, 3, 1]",1,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0010_img.png,"[1, 1, 4, 3]",1,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0012_img.png,"[2, 3, 2, 4]",2,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0006_img.png,"[4, 2, 3, 2]",2,50.00%,4
Contain,True_pilot-containment-box-redyellow_0017_img.png,"[3, 4, 4, 3]",3,50.00%,4
Contain,True_pilot-containment-vase-redyellow_0002_img.png,"[3, 4, 2, 3]",3,50.00%,4
Contain,True_pilot-containment-box-redyellow_0003_img.png,"[2, 1, 1, 2]",1,50.00%,4
Contain,True_pilot-containment-vase-redyellow_0019_img.png,"[3, 1, 2, 3]",3,50.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0024_img.png,"[1, 3, 1, 4]",1,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0024_img.png,"[4, 2, 2, 3]",2,50.00%,4
Contain,True_pilot-containment-torus-redyellow_0001_img.png,"[2, 1, 2, 4]",2,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0019_img.png,"[1, 1, 2, 2]",1,50.00%,4
Contain,True_pilot-containment-box-redyellow_0004_img.png,"[4, 3, 2, 4]",4,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0013_img.png,"[3, 3, 2, 2]",2,50.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0006_img.png,"[4, 3, 4, 1]",4,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0000_img.png,"[1, 3, 3, 4]",3,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0015_img.png,"[1, 2, 1, 1]",1,75.00%,4
Contain,True_pilot-containment-box-redyellow_0012_img.png,"[3, 3, 3, 4]",3,75.00%,4
Contain,True_pilot-containment-box-redyellow_0007_img.png,"[4, 2, 3, 3]",3,50.00%,4
Contain,True_pilot-containment-torus-redyellow_0003_img.png,"[4, 1, 3]",1,33.33%,4
Contain,True_pilot-containment-torus-redyellow_0020_img.png,"[2, 3, 4, 4]",4,50.00%,4
Contain,True_pilot-containment-vase-redyellow_0006_img.png,"[2, 1, 3, 4]",1,25.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0011_img.png,"[3, 3, 1, 2]",3,50.00%,4
Contain,True_pilot-containment-box-redyellow_0014_img.png,"[3, 2, 3, 2]",2,50.00%,4
Contain,True_pilot-containment-torus-redyellow_0006_img.png,"[1, 2, 2, 3]",2,50.00%,4
